Nazwa;Kod_NUTS;Kod_GUS
PODREGION KRAKOWSKI;PL214;011212000000
PODREGION MIASTO KRAKÓW;PL213;011212100000
PODREGION NOWOSĄDECKI;PL218;011212200000
PODREGION OŚWIĘCIMSKI;PL21A;011212300000
PODREGION TARNOWSKI;PL217;011212400000
PODREGION NOWOTARSKI;PL219;011216900000
PODREGION BIELSKI;PL225;012414400000
PODREGION BYTOMSKI;PL228;012414500000
PODREGION CZĘSTOCHOWSKI;PL224;012414600000
PODREGION GLIWICKI;PL229;012414700000
PODREGION KATOWICKI;PL22A;012414800000
PODREGION RYBNICKI;PL227;012414900000
PODREGION SOSNOWIECKI;PL22B;012415000000
PODREGION TYSKI;PL22C;012415100000
PODREGION GORZOWSKI;PL431;020811300000
PODREGION ZIELONOGÓRSKI;PL432;020811400000
PODREGION KALISKI;PL416;023015700000
PODREGION KONIŃSKI;PL414;023015800000
PODREGION LESZCZYŃSKI;PL417;023015900000
PODREGION PILSKI;PL411;023016000000
PODREGION POZNAŃSKI;PL418;023016100000
PODREGION MIASTO POZNAŃ;PL415;023016200000
PODREGION KOSZALIŃSKI;PL426;023216300000
PODREGION SZCZECINECKO-PYRZYCKI;PL427;023216400000
PODREGION MIASTO SZCZECIN;PL424;023216500000
PODREGION SZCZECIŃSKI;PL428;023216600000
PODREGION JELENIOGÓRSKI;PL515;030210100000
PODREGION LEGNICKO-GŁOGOWSKI;PL516;030210200000
PODREGION WAŁBRZYSKI;PL517;030210300000
PODREGION WROCŁAWSKI;PL518;030210400000
PODREGION MIASTO WROCŁAW;PL514;030210500000
PODREGION NYSKI;PL523;031613100000
PODREGION OPOLSKI;PL524;031613200000
PODREGION BYDGOSKO-TORUŃSKI;PL613;040410600000
PODREGION GRUDZIĄDZKI;PL616;040410700000
PODREGION WŁOCŁAWSKI;PL619;040410800000
PODREGION INOWROCŁAWSKI;PL617;040416700000
PODREGION ŚWIECKI;PL618;040416800000
PODREGION GDAŃSKI;PL634;042214000000
PODREGION SŁUPSKI;PL636;042214100000
PODREGION STAROGARDZKI;PL638;042214200000
PODREGION TRÓJMIEJSKI;PL633;042214300000
PODREGION CHOJNICKI;PL637;042217200000
PODREGION ELBLĄSKI;PL621;042815400000
PODREGION EŁCKI;PL623;042815500000
PODREGION OLSZTYŃSKI;PL622;042815600000
PODREGION ŁÓDZKI;PL712;051011500000
PODREGION MIASTO ŁÓDŹ;PL711;051011600000
PODREGION PIOTRKOWSKI;PL713;051011700000
PODREGION SIERADZKI;PL714;051011800000
PODREGION SKIERNIEWICKI;PL715;051011900000
PODREGION KIELECKI;PL721;052615200000
PODREGION SANDOMIERSKO-JĘDRZEJOWSKI;PL722;052615300000
PODREGION BIALSKI;PL811;060610900000
PODREGION CHEŁMSKO-ZAMOJSKI;PL812;060611000000
PODREGION LUBELSKI;PL814;060611100000
PODREGION PUŁAWSKI;PL815;060611200000
PODREGION KROŚNIEŃSKI;PL821;061813300000
PODREGION PRZEMYSKI;PL822;061813400000
PODREGION RZESZOWSKI;PL823;061813500000
PODREGION TARNOBRZESKI;PL824;061813600000
PODREGION BIAŁOSTOCKI;PL841;062013700000
PODREGION ŁOMŻYŃSKI;PL842;062013800000
PODREGION SUWALSKI;PL843;062013900000
PODREGION MIASTO WARSZAWA;PL911;071412800000
PODREGION WARSZAWSKI WSCHODNI;PL912;071412900000
PODREGION WARSZAWSKI ZACHODNI;PL913;071413000000
PODREGION CIECHANOWSKI;PL922;071422500000
PODREGION OSTROŁĘCKI;PL924;071422600000
PODREGION RADOMSKI;PL921;071422700000
PODREGION PŁOCKI;PL923;071427000000
PODREGION SIEDLECKI;PL925;071427100000
PODREGION ŻYRARDOWSKI;PL926;071427300000
